Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-04-29,20216,20383,19932,20112
2019-04-30,20106,20609,19991,20524
2019-05-01,20525,20765,20510,20686
2019-05-02,20679,21230,20626,21146
2019-05-03,21145,22721,21037,22123
2019-05-06,22395,22439,21768,22200
2019-05-07,22213,23251,22168,22978
2019-05-08,22979,23065,22180,22959
2019-05-09,22956,23684,22857,23580
2019-05-10,23592,24698,23503,24479
2019-05-13,27331,31090,26308,30952
2019-05-14,30977,31728,29286,29896
2019-05-15,29895,31655,29894,31224
2019-05-16,31196,32059,29593,30531
2019-05-17,30506,30580,25746,27629
2019-05-20,31180,31954,29224,30988
2019-05-21,30939,31273,30200,30836
2019-05-22,30835,31033,29509,29647
2019-05-23,29622,30472,29016,30377
2019-05-24,30403,31306,30027,30882
2019-05-27,33152,34223,33103,33793
2019-05-28,33795,33921,32901,33520
2019-05-29,33525,33847,32587,33413
2019-05-30,33414,35012,31013,31649
2019-05-31,31650,32435,31304,32316
2019-06-03,33402,33541,31852,32341
2019-06-04,32283,32284,28584,28628
2019-06-05,28394,30151,28391,29503
2019-06-06,29480,29964,28333,29348
2019-06-07,29324,30531,29228,29945
2019-06-10,28712,30403,28270,29942
2019-06-11,29943,30328,29126,29774
2019-06-12,29799,31038,29459,30733
2019-06-13,30710,31426,30432,31422
2019-06-14,31390,32101,30885,31948
2019-06-17,34334,35692,34071,35256
2019-06-18,35320,35928,34062,34272
2019-06-19,34302,35109,34085,35023
2019-06-20,35050,36180,34740,35867
2019-06-21,35859,37314,35728,37075
2019-06-24,40904,41441,39501,40865
2019-06-25,40814,43277,40813,43224
2019-06-26,43218,51781,43173,46472
2019-06-27,46712,49822,38623,40297
2019-06-28,40212,46029,40212,45980
2019-07-01,42096,42105,37580,39818
2019-07-02,39720,41081,36356,40195
2019-07-03,40201,43518,40112,42860
2019-07-04,42857,45309,42852,43560
2019-07-05,43661,44021,40652,42153
2019-07-08,43670,46801,42998,46799
2019-07-09,46862,48711,46118,47857
2019-07-10,47853,50123,43871,45287
2019-07-11,45283,46143,41718,42857
2019-07-12,42849,44661,42063,44061
2019-07-15,40387,41411,37519,40685
2019-07-16,40643,41818,35717,36608
2019-07-17,36610,37833,34514,37375
2019-07-18,37257,40546,35325,39961
2019-07-19,39960,40701,38540,39426
2019-07-22,40046,40400,38190,38896
2019-07-23,38937,39187,37548,38619
2019-07-24,38619,38723,36456,37341
2019-07-25,37308,38881,37196,37773
2019-07-26,37778,37963,36928,37891
2019-07-29,36252,37239,35021,36577
2019-07-30,36575,37505,36131,36897
2019-07-31,36933,39035,36896,38945
2019-08-01,38928,40751,38444,40484
2019-08-02,40497,41350,40164,40611
2019-08-05,42514,46051,42478,45226
2019-08-06,45223,47396,43629,43827
2019-08-07,43778,46692,43285,46079
2019-08-08,46077,46356,44440,45257
2019-08-09,45262,46655,45025,45639
2019-08-12,44426,44621,43598,44012
2019-08-13,44014,44201,41758,42160
2019-08-14,42161,42285,39517,40013
2019-08-15,39991,41028,37279,40730
2019-08-16,40722,41272,38455,40960
2019-08-19,40778,42708,40234,42267
2019-08-20,42215,43185,41597,42380
2019-08-21,42384,42607,38763,39447
2019-08-22,39363,40210,38326,39891
2019-08-23,39933,41097,39548,40995
2019-08-26,39246,41853,39106,40377
2019-08-27,40371,40839,39462,40006
2019-08-28,40004,40697,38011,38552
2019-08-29,38546,38649,37040,37746
2019-08-30,37753,38305,37203,38127
2019-09-02,38672,41592,38668,41274
2019-09-03,41319,42801,41108,42363
2019-09-04,42402,42583,40956,41993
2019-09-05,41990,42081,41172,41542
2019-09-06,41583,43008,40588,40877
2019-09-09,41016,41454,39674,40339
2019-09-10,40337,40753,39000,39601
2019-09-11,39604,40147,38726,40104
2019-09-12,40101,40834,39599,40829
2019-09-13,40826,41045,39865,39946
2019-09-16,40232,40756,39741,40583
2019-09-17,40584,40666,39957,40037
2019-09-18,40036,40289,39634,40143
2019-09-19,40129,40787,38204,40369
2019-09-20,40369,40561,39853,40359
2019-09-23,39953,39997,38706,38929
2019-09-24,38966,39047,32055,34475
2019-09-25,34445,34961,32883,34451
2019-09-26,34422,34641,31229,32500
2019-09-27,32496,32719,31564,32108
2019-09-30,32269,33486,31011,33173
2019-10-01,33145,34171,32931,33375
2019-10-02,33375,33598,32694,32911
2019-10-03,32912,33526,31938,32377
2019-10-04,32363,32749,31853,32293
2019-10-07,31199,32757,30611,32424
2019-10-08,32425,32902,32023,32221
2019-10-09,32225,34225,32076,33750
2019-10-10,33749,34012,33185,33548
2019-10-11,33549,34413,32328,32563
2019-10-14,32212,32717,32040,32439
2019-10-15,32433,32753,31637,31760
2019-10-16,31756,31845,30683,30898
2019-10-17,30895,31290,30780,31077
2019-10-18,31075,31298,30207,30563
2019-10-21,31559,31952,31325,31569
2019-10-22,31534,31937,31062,31139
2019-10-23,31134,31157,28197,28590
2019-10-24,28567,28949,28290,28730
2019-10-25,28731,33793,28588,33408
2019-10-28,36998,38326,35756,36429
2019-10-29,36464,36793,34995,36358
2019-10-30,36324,36358,34579,35219
2019-10-31,35252,35941,34244,34908
2019-11-01,34941,35458,34610,35125
2019-11-04,35100,36594,34758,36072
2019-11-05,36062,36409,35248,35924
2019-11-06,35959,36404,35728,36018
2019-11-07,36015,36119,35101,35590
2019-11-08,35596,35664,33565,34065
2019-11-11,35172,35226,33394,33748
2019-11-12,33745,34350,33300,34108
2019-11-13,34137,34356,33909,34102
2019-11-14,34125,34285,33465,33655
2019-11-15,33654,34065,32574,32778
2019-11-18,33084,33084,31330,31884
2019-11-19,31857,31859,31097,31499
2019-11-20,31500,31892,31230,31371
2019-11-21,31372,31522,28875,29677
2019-11-22,29676,30009,26477,28626
2019-11-25,27492,28769,25562,28213
2019-11-26,28193,28667,27520,27976
2019-11-27,27957,30014,26896,29554
2019-11-28,29555,30070,29015,29016
2019-11-29,29038,30755,28988,30382
2019-12-02,28974,29218,28143,28457
2019-12-03,28457,28717,28104,28347
2019-12-04,28338,29874,27487,27918
2019-12-05,27937,28852,27715,28592
2019-12-06,28592,29475,28222,28832
2019-12-09,29295,29631,28297,28469
2019-12-10,28470,28661,27806,28044
2019-12-11,28046,28148,27596,27716
2019-12-12,27720,28081,27311,27595
2019-12-13,27603,28014,27572,27907
2019-12-16,27344,27394,26182,26385
2019-12-17,26359,26486,25193,25211
2019-12-18,25212,28264,24814,28264
2019-12-19,28576,28580,27055,27469
2019-12-20,27470,27770,27192,27742
2019-12-23,28504,29621,28014,28123
2019-12-24,28119,28486,27610,27633
2019-12-26,27692,28496,27491,27671
2019-12-27,27642,27751,27118,27569
2019-12-30,28205,28271,27370,27604
2019-12-31,27598,27715,27040,27294
2020-01-02,27287,27305,26325,26444
2020-01-03,26437,28165,26086,27856
2020-01-06,27938,29280,27843,29186
2020-01-07,29161,31159,29161,30585
2020-01-08,30629,32177,30013,30752
2020-01-09,30757,30883,29619,29837
2020-01-10,29838,30955,29410,30728
2020-01-13,31063,31217,30638,30855
2020-01-14,30852,33438,30807,33199
2020-01-15,33106,33699,32527,33575
2020-01-16,33568,33602,32569,33123
2020-01-17,33089,34231,32967,33894
2020-01-20,32985,33392,32601,33132
2020-01-21,33056,33484,32421,33255
2020-01-22,33256,33572,32795,33019
2020-01-23,32989,33102,31792,32247
2020-01-24,32246,32866,31655,32751
2020-01-27,33062,34887,33038,34571
2020-01-28,34540,35655,34507,35453
2020-01-29,35425,36705,35321,36342
2020-01-30,36340,37217,35790,37196
2020-01-31,37202,37210,35865,36074
2020-02-03,36388,37164,35895,36041
2020-02-04,36037,36325,35163,35534
2020-02-05,35533,37613,35438,37149
2020-02-06,37150,38121,36831,37508
2020-02-07,37507,38424,37507,37985
2020-02-10,39467,39744,37986,38467
2020-02-11,38466,40470,37962,39851
2020-02-12,39855,40816,39806,40481
2020-02-13,40484,41118,39565,40018
2020-02-14,40013,40713,39519,40644
2020-02-17,38752,39189,37294,37866
2020-02-18,37876,40558,37872,40258
2020-02-19,40262,40715,37085,38240
2020-02-20,38283,38411,37570,38186
2020-02-21,38152,38713,37971,38438
2020-02-24,39369,39709,37598,38266
2020-02-25,38268,38401,36639,37142
2020-02-26,37183,37183,34267,34881
2020-02-27,34848,35291,33799,34562
2020-02-28,34561,35052,33246,33805
2020-03-02,33527,34812,33369,34636
2020-03-03,34605,34609,33391,33873
2020-03-04,33854,34183,33505,33788
2020-03-05,33821,35297,33775,34832
2020-03-06,34829,35123,34275,34739
2020-03-09,30987,31324,28919,29817
2020-03-10,29824,31042,29521,30353
2020-03-11,30356,30724,29156,30720
2020-03-12,30648,30705,21862,22662
2020-03-13,22747,23468,15562,21431
